Date,Open,High,Low,Close,Adj Close,Volume,Day
2/28/14,170.220001,171.470001,169.570007,170.630005,142.66011,853900,0
3/3/14,169.190002,169.889999,168.380005,169.460007,141.6819,2235900,1
3/4/14,171.169998,172.229996,171.130005,171.880005,143.705154,1281500,2
3/5/14,172,172.309998,171.789993,171.910004,143.73027,983100,3
3/6/14,172.539993,172.839996,172.190002,172.460007,144.190125,1037000,4
3/7/14,173.080002,173.130005,171.789993,172.419998,144.156693,1205600,5
3/10/14,172.240005,172.479996,171.470001,172.449997,144.181732,885300,6
3/11/14,172.729996,172.919998,171.169998,171.5,143.387512,945700,7
3/12/14,170.75,171.649994,170.360001,171.619995,143.487808,1065000,8
3/13/14,172.139999,172.240005,169.210007,169.720001,141.899216,1659400,9
3/14/14,169.350006,170.220001,169,169.229996,141.489563,1323500,10
3/17/14,170.059998,171.139999,169.990005,170.75,142.760391,1695400,11
3/18/14,171.070007,172.179993,170.929993,171.960007,143.772079,779700,12
3/19/14,172.029999,172.229996,169.990005,171.020004,142.98616,1166300,13
3/20/14,170.679993,172.160004,170.369995,171.990005,143.797119,818200,14
3/21/14,172.809998,173.190002,171.240005,171.419998,143.320618,825200,15
3/24/14,171.190002,171.389999,169.160004,169.919998,142.715042,2004900,16
3/25/14,170.779999,171.25,169.779999,170.75,143.412125,1202100,17
3/26/14,171.389999,171.639999,169.449997,169.490005,142.353912,1155600,18
3/27/14,169.320007,169.779999,168.479996,169.149994,142.068329,980700,19
3/28/14,169.630005,170.789993,169.5,169.899994,142.698181,548900,20
3/31/14,171.039993,171.589996,170.869995,171.350006,143.916061,822000,21
4/1/14,171.869995,172.589996,171.759995,172.5,144.881927,1247500,22
4/2/14,172.720001,173.289993,172.399994,173.089996,145.377472,1972800,23
4/3/14,173.330002,173.369995,172.320007,172.820007,145.150726,718300,24
4/4/14,173.770004,173.820007,170.529999,170.740005,143.403687,2270800,25
4/7/14,170.360001,170.649994,168.570007,168.899994,141.858276,1645000,26
4/8/14,168.789993,169.880005,168.220001,169.600006,142.446259,2064000,27
4/9/14,170.080002,171.460007,169.610001,171.429993,143.983261,768800,28
4/10/14,171.419998,171.490005,167.619995,167.770004,140.909225,1286900,29
4/11/14,166.919998,168.050003,166.110001,166.259995,139.640991,1762400,30
4/14/14,167.580002,168,166.259995,167.600006,140.766495,1456600,31
4/15/14,167.979996,168.869995,166.330002,168.759995,141.740723,2160100,32
4/16/14,169.919998,170.550003,169.190002,170.539993,143.235748,2410000,33
4/17/14,170.350006,171.240005,170.029999,170.740005,143.403687,925500,34
4/21/14,170.850006,171.419998,170.660004,171.369995,143.932907,804400,35
4/22/14,171.570007,172.619995,171.490005,172.119995,144.56279,1053300,36
4/23/14,172.089996,172.160004,171.649994,171.710007,144.21843,724500,37
4/24/14,172.630005,172.630005,171.300003,172.089996,144.537598,543900,38
4/25/14,171.550003,171.630005,170.320007,170.710007,143.37854,1357900,39
4/28/14,171.389999,171.960007,169.490005,171.229996,143.815277,647800,40
4/29/14,171.789993,172.289993,171.429993,172.050003,144.503983,1065900,41
4/30/14,171.75,172.710007,171.5,172.589996,144.957504,605300,42
5/1/14,172.5,173.029999,172.029999,172.600006,144.965897,623900,43
5/2/14,172.559998,173.259995,172.059998,172.320007,144.730774,754800,44
5/5/14,171.490005,172.720001,171.020004,172.679993,145.033173,792600,45
5/6/14,172.270004,172.380005,171.110001,171.179993,143.7733,567700,46
5/7/14,171.729996,172.220001,170.440002,172.190002,144.621567,1160600,47
5/8/14,171.960007,173.199997,171.429993,171.979996,144.445175,1390700,48
5/9/14,171.979996,172.289993,171.199997,172.279999,144.697174,955400,49
5/12/14,172.960007,173.979996,172.960007,173.910004,146.066208,780100,50
5/13/14,174.089996,174.490005,173.889999,174.070007,146.200577,994800,51
5/14/14,173.910004,173.970001,173,173.229996,145.495026,1335700,52
5/15/14,172.899994,172.929993,170.869995,171.669998,144.18483,3191100,53
5/16/14,171.800003,172.360001,171.100006,172.339996,144.747559,699600,54
5/19/14,171.979996,173.100006,171.809998,172.929993,145.243149,926900,55
5/20/14,172.860001,172.880005,171.410004,171.789993,144.285599,669400,56
5/21/14,172.360001,173.369995,172.309998,173.279999,145.537079,991300,57
5/22/14,173.350006,174.059998,173.059998,173.75,145.931824,859000,58
5/23/14,173.910004,174.539993,173.820007,174.470001,146.53656,613900,59
5/27/14,175.089996,175.550003,175,175.5,147.401627,890000,60
5/28/14,175.520004,175.789993,175.089996,175.320007,147.250488,990900,61
5/29/14,175.820007,176.320007,175.369995,176.320007,148.090363,541000,62
5/30/14,176.160004,176.690002,175.979996,176.550003,148.283524,874700,63
6/2/14,176.830002,176.850006,175.940002,176.789993,148.485092,1620200,64
6/3/14,176.350006,176.789993,176.220001,176.679993,148.392685,1252900,65
6/4/14,176.369995,177.149994,176.199997,177,148.661484,984900,66
6/5/14,177.240005,178.380005,176.630005,178.199997,149.669357,853600,67
6/6/14,178.619995,179.089996,178.520004,179.050003,150.38324,586800,68
6/9/14,179.039993,179.690002,178.869995,179.229996,150.534424,461800,69
6/10/14,179.029999,179.300003,178.660004,179.270004,150.568069,959900,70
6/11/14,178.639999,178.820007,178.25,178.690002,150.080887,558100,71
6/12/14,178.419998,178.520004,176.979996,177.360001,148.963837,891400,72
6/13/14,177.729996,178.070007,177.169998,177.919998,149.43425,731200,73
6/16/14,177.690002,178.410004,177.5,178.070007,149.56015,756700,74
6/17/14,177.830002,178.679993,177.630005,178.539993,149.954926,2934400,75
6/18/14,178.589996,179.970001,178.169998,179.869995,151.07193,501900,76
6/19/14,180.039993,180.210007,179.509995,180.089996,151.256744,746900,77
6/20/14,180.509995,180.570007,180.25,180.449997,151.559113,830300,78
6/23/14,179.699997,179.729996,179.270004,179.559998,151.490768,737700,79
6/24/14,179.289993,180.139999,178.309998,178.5,150.596481,391700,80
6/25/14,178.139999,179.490005,178.130005,179.259995,151.23761,586000,81
6/26/14,179.360001,179.380005,177.979996,179.169998,151.161728,676800,82
6/27/14,178.789993,179.559998,178.690002,179.479996,151.423279,1032300,83
6/30/14,179.429993,179.820007,179.279999,179.429993,151.381073,1261200,84
7/1/14,179.880005,181.190002,179.830002,180.690002,152.444122,1199000,85
7/2/14,180.669998,181.029999,180.570007,180.820007,152.553787,511500,86
7/3/14,181.309998,181.779999,181.199997,181.729996,153.321548,327900,87
7/7/14,181.380005,181.5,180.839996,181.139999,152.823776,1151800,88
7/8/14,180.770004,180.820007,179.5,179.970001,151.83667,749400,89
7/9/14,180.360001,180.880005,180,180.720001,152.469437,930300,90
7/10/14,179.009995,180.470001,178.839996,180.029999,151.887344,614600,91
7/11/14,179.940002,180.360001,179.509995,180.270004,152.089798,520400,92
7/14/14,181.199997,181.410004,181.020004,181.160004,152.840591,493100,93
7/15/14,181.25,181.630005,180.059998,180.850006,152.579117,1207000,94
7/16/14,181.649994,181.759995,181.009995,181.539993,153.161285,539400,95
7/17/14,180.960007,181.619995,179.190002,179.410004,151.364227,1103900,96
7/18/14,180.020004,181.440002,179.940002,181.300003,152.958786,571500,97
7/21/14,180.710007,181.080002,180.130005,180.910004,152.629776,866000,98
7/22/14,181.580002,182.039993,181.419998,181.720001,153.313126,1509500,99
7/23/14,182,182.320007,181.639999,182.149994,153.675842,750900,100
7/24/14,182.360001,182.5,181.970001,182.149994,153.675842,535800,101
7/25/14,181.649994,181.770004,180.940002,181.279999,152.941849,635700,102
7/28/14,181.350006,181.600006,180.279999,181.360001,153.009384,485700,103
7/29/14,181.699997,181.889999,180.570007,180.589996,152.359772,639000,104
7/30/14,181.220001,181.440002,179.860001,180.589996,152.359772,1128500,105
7/31/14,179.350006,179.5,176.960007,176.960007,149.297211,2430500,106
8/1/14,176.520004,177.619995,175.649994,176.529999,148.934372,3398000,107
8/4/14,176.809998,178.110001,176.070007,177.770004,149.980591,2212000,108
8/5/14,177.039993,177.479996,175.399994,175.970001,148.462006,1251300,109
8/6/14,175.199997,176.820007,175.179993,176.080002,148.55481,1185800,110
8/7/14,176.899994,177.039993,174.699997,175.130005,147.753311,1527100,111
8/8/14,175.490005,177.270004,175.100006,177.160004,149.465973,1209900,112
8/11/14,177.869995,178.470001,177.610001,177.660004,149.887772,1191200,113
8/12/14,177.470001,177.990005,176.899994,177.449997,149.710602,513900,114
8/13/14,178.149994,178.830002,177.869995,178.699997,150.765213,781600,115
8/14/14,178.919998,179.479996,178.770004,179.479996,151.423279,842000,116
8/15/14,180.149994,180.300003,178.179993,179.429993,151.381073,1694300,117
8/18/14,180.460007,181.029999,180.339996,180.919998,152.638168,1039100,118
8/19/14,181.399994,182.029999,181.229996,181.880005,153.448105,583000,119
8/20/14,181.660004,182.610001,181.649994,182.380005,153.869904,1507800,120
8/21/14,182.580002,183.169998,182.419998,182.899994,154.308624,756600,121
8/22/14,182.800003,183.089996,182.240005,182.610001,154.063934,656500,122
8/25/14,183.539993,183.860001,183.270004,183.559998,154.865494,1097200,123
8/26/14,183.720001,184.169998,183.649994,183.710007,154.992035,749500,124
8/27/14,183.809998,183.899994,183.339996,183.679993,154.966736,602600,125
8/28/14,183.020004,183.619995,182.850006,183.539993,154.848572,447700,126
8/29/14,183.830002,184.059998,183.229996,183.990005,155.228287,617200,127
9/2/14,184.300003,184.300003,183.270004,183.940002,155.186081,553800,128
9/3/14,184.649994,184.679993,183.589996,183.860001,155.118622,627600,129
9/4/14,184.119995,184.820007,183.100006,183.559998,154.865494,536700,130
9/5/14,183.529999,184.470001,182.880005,184.440002,155.607941,502300,131
9/8/14,184.240005,184.460007,183.399994,183.970001,155.211411,635900,132
9/9/14,183.789993,183.880005,182.410004,182.779999,154.207458,515300,133
9/10/14,182.889999,183.550003,182.270004,183.5,154.814819,849800,134
9/11/14,182.75,183.699997,182.610001,183.669998,154.958237,525700,135
9/12/14,183.490005,183.509995,182.080002,182.580002,154.038696,724000,136
9/15/14,182.639999,182.740005,181.889999,182.460007,153.937439,1021700,137
9/16/14,182.110001,184.119995,182,183.820007,155.084824,565100,138
9/17/14,184.110001,184.919998,183.199997,184.080002,155.304184,975000,139
9/18/14,184.649994,185.059998,184.429993,185.039993,156.114136,740000,140
9/19/14,185.639999,185.839996,184.580002,184.860001,155.96228,964000,141
9/22/14,183.699997,183.740005,182.229996,182.559998,154.755142,836700,142
9/23/14,181.949997,182.699997,181.509995,181.529999,153.882004,752200,143
9/24/14,181.619995,183.070007,181.119995,182.990005,155.119705,968500,144
9/25/14,182.5,182.520004,179.990005,180.050003,152.627426,1603000,145
9/26/14,180.360001,181.880005,180.130005,181.5,153.856628,916900,146
9/29/14,179.929993,181.449997,179.770004,181.139999,153.551437,1482800,147
9/30/14,181.300003,181.809998,180.289993,180.589996,153.085175,767700,148
10/1/14,180.339996,180.419998,177.809998,178.220001,151.076172,2380200,149
10/2/14,178.050003,178.830002,176.399994,178.210007,151.067688,1263800,150
10/3/14,179.479996,180.550003,178.880005,180.199997,152.754578,1217400,151
10/6/14,180.940002,181.179993,179.360001,179.979996,152.56813,1307000,152
10/7/14,179.050003,179.449997,177.199997,177.220001,150.228424,930600,153
10/8/14,177.330002,180.539993,176.380005,180.320007,152.856339,1897500,154
10/9/14,180,180.220001,176.600006,176.679993,149.770676,1428600,155
10/10/14,176.649994,177.550003,174.660004,174.699997,148.092285,2469900,156
10/13/14,174.630005,175.25,171.729996,171.830002,145.659409,2109200,157
10/14/14,172.729996,174.020004,171.5,172.110001,145.89679,2431300,158
10/15/14,169.800003,171.300003,166.850006,170.830002,144.811676,5460300,159
10/16/14,167.820007,171.949997,167.679993,170.720001,144.718445,4452600,160
10/17/14,172.729996,173.979996,172.039993,172.830002,146.507111,2259400,161
10/20/14,172.529999,174.600006,172.449997,174.529999,147.948151,1379400,162
10/21/14,175.779999,178.039993,175.589996,177.919998,150.821838,2884200,163
10/22/14,178.289993,178.720001,176.610001,176.710007,149.796158,2374200,164
10/23/14,178.449997,179.850006,178.169998,178.740005,151.516968,1812400,165
10/24/14,179.029999,180.169998,178.360001,180.080002,152.652893,1152600,166
10/27/14,179.509995,180.130005,178.869995,179.850006,152.45787,1476000,167
10/28/14,180.490005,181.940002,180.399994,181.919998,154.212662,1330000,168
10/29/14,182.029999,182.580002,180.470001,181.710007,154.034622,1600700,169
10/30/14,181.169998,183.330002,181.050003,182.860001,155.009476,1588900,170
10/31/14,185.020004,185.050003,184.100006,184.929993,156.764191,1946100,171
11/3/14,185.199997,185.619995,184.600006,185.039993,156.857468,2270000,172
11/4/14,184.559998,184.850006,183.449997,184.380005,156.297958,1639400,173
11/5/14,185.740005,185.779999,184.740005,185.589996,157.3237,1826500,174
11/6/14,185.570007,186.380005,184.899994,186.339996,157.959457,1758600,175
11/7/14,186.339996,186.679993,185.800003,186.5,158.095123,1396400,176
11/10/14,186.479996,187.100006,186.270004,187.059998,158.569809,1876400,177
11/11/14,187.139999,187.339996,186.779999,187.240005,158.722351,1031600,178
11/12/14,186.490005,187.279999,186.460007,187.089996,158.59523,2742900,179
11/13/14,187.240005,187.839996,186.380005,187.259995,158.739334,1163600,180
11/14/14,187.190002,187.529999,186.850006,187.330002,158.798691,1464500,181
11/17/14,186.929993,187.589996,186.759995,187.429993,158.883408,584600,182
11/18/14,187.479996,188.820007,187.479996,188.509995,159.798889,1252600,183
11/19/14,188.25,188.479996,187.369995,188.169998,159.510712,1880800,184
11/20/14,187.289993,188.639999,187.289993,188.509995,159.798889,866800,185
11/21/14,190.429993,190.479996,188.949997,189.570007,160.69751,1586200,186
11/24/14,190.020004,190.210007,189.770004,190.059998,161.112823,1365900,187
11/25/14,190.339996,190.559998,189.660004,190,161.061996,1736700,188
11/26/14,190.100006,190.520004,189.880005,190.440002,161.435043,824400,189
11/28/14,190.300003,190.630005,189.759995,190.029999,161.087418,430200,190
12/1/14,189.289993,189.389999,188.360001,188.729996,159.985428,2083600,191
12/2/14,188.710007,190.130005,188.710007,189.919998,160.994186,1446800,192
12/3/14,190.100006,190.880005,189.970001,190.649994,161.612991,2240100,193
12/4/14,190.350006,190.990005,189.570007,190.460007,161.45195,1573000,194
12/5/14,190.649994,191.190002,190.350006,190.800003,161.740158,2215900,195
12/8/14,190.350006,190.830002,188.850006,189.5,160.638138,1527800,196
12/9/14,187.429993,189.470001,186.979996,189.350006,160.511002,1763100,197
12/10/14,188.860001,188.860001,186.100006,186.380005,157.993347,1749800,198
12/11/14,186.979996,189.070007,186.809998,187.25,158.73085,1972600,199
12/12/14,186,186.899994,184.169998,184.210007,156.153854,2614400,200
12/15/14,185.259995,185.720001,182.270004,182.929993,155.068787,2801400,201
12/16/14,182.100006,185.539993,181.440002,181.520004,153.873566,3837500,202
12/17/14,181.970001,185.550003,181.839996,185.179993,156.976059,5588600,203
12/18/14,186.740005,188.580002,186,188.550003,159.83287,3820200,204
12/19/14,189.289993,190.130005,188.589996,189.419998,160.570328,1800800,205
12/22/14,189.570007,190.259995,189.339996,190.259995,161.282379,3005800,206
12/23/14,190.940002,190.970001,190.300003,190.550003,161.52829,1926800,207
12/24/14,190.809998,191.050003,190.5,190.529999,161.511276,952700,208
12/26/14,191.059998,191.520004,190.990005,191.149994,162.03685,650300,209
12/29/14,190.970001,191.630005,190.899994,191.419998,162.265701,878600,210
12/30/14,190.949997,191.089996,190.300003,190.380005,161.384125,3224500,211
12/31/14,190.75,190.910004,188.380005,188.399994,159.705719,1366000,212
1/2/15,189.289993,189.720001,187.259995,188.399994,159.705719,1865000,213
1/5/15,187.259995,187.410004,184.660004,185.089996,156.89978,2734700,214
1/6/15,185.369995,185.880005,182.360001,183.270004,155.357025,2245300,215
1/7/15,184.729996,185.910004,184.229996,185.559998,157.298264,2305600,216
1/8/15,187.130005,189.050003,187.070007,188.820007,160.061691,1740600,217
1/9/15,189.300003,189.339996,186.649994,187.229996,158.713852,2525200,218
1/12/15,187.460007,187.600006,185.190002,185.839996,157.535568,1847500,219
1/13/15,187.220001,188.410004,183.899994,185.350006,157.120224,2158500,220
1/14/15,183.100006,184.399994,182.110001,184.259995,156.196259,5216300,221
1/15/15,184.880005,185.25,182.399994,182.539993,154.73822,1940700,222
1/16/15,182.309998,185.080002,182.089996,184.800003,156.654022,1472800,223
1/20/15,185.619995,185.899994,183.580002,185.259995,157.043884,1637600,224
1/21/15,184.770004,186.740005,184.300003,186.229996,157.866211,1586500,225
1/22/15,187.089996,189.149994,185.600006,189.080002,160.28212,6074900,226
1/23/15,188.720001,189.020004,187.789993,188.039993,159.400528,3109800,227
1/26/15,187.789993,188.509995,186.929993,188.410004,159.714111,2018000,228
1/27/15,186.139999,187.179993,185.020004,185.940002,157.620377,1979100,229
1/28/15,187.270004,187.320007,183.350006,183.490005,155.543533,2530800,230
1/29/15,183.740005,185.529999,182.210007,185.270004,157.052444,4338200,231
1/30/15,183.960007,185.380005,182.630005,182.990005,155.119705,2302500,232
2/2/15,183.5,185.259995,181.470001,185.089996,156.89978,3397800,233
2/3/15,186.130005,187.860001,185.789993,187.789993,159.188538,1435000,234
2/4/15,187.029999,188.350006,186.649994,187.149994,158.646072,1861200,235
2/5/15,187.889999,189.190002,187.850006,189.050003,160.256668,1033800,236
2/6/15,189.490005,190.050003,187.940002,188.520004,159.807434,1454700,237
2/9/15,187.809998,188.589996,187.220001,187.660004,159.078415,2289300,238
2/10/15,188.820007,189.929993,187.850006,189.660004,160.773804,1798000,239
2/11/15,189.509995,190.229996,188.779999,189.789993,160.884003,1744400,240
2/12/15,190.699997,191.649994,190.470001,191.550003,162.3759,2008500,241
2/13/15,191.720001,192.440002,191.460007,192.389999,163.087982,1073100,242
2/17/15,192.070007,192.880005,191.789993,192.699997,163.3508,1700400,243
2/18/15,192.279999,192.779999,192,192.740005,163.384689,1863000,244
2/19/15,192.089996,192.970001,191.889999,192.610001,163.27449,1017600,245
2/20/15,192.130005,193.820007,191.449997,193.779999,164.266312,1374000,246
2/23/15,193.490005,193.729996,193.029999,193.729996,164.223907,1497700,247
2/24/15,193.690002,194.490005,193.429993,194.300003,164.707062,1244200,248
